id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,7500,7500,7500, 36 months,16.14,264.2,C,C4,lab tech,10+ years,OWN,50000,Source Verified,Dec-18,Current,n,,,home_improvement,Home improvement,280xx,NC,16.11,0,Nov-14,0,,,10,0,8064,33.7,14,w,7171.15,7171.15,518.31,518.31,328.85,189.46,0,0,0,Feb-19,264.2,Mar-19,Feb-19,0,,1,Individual,,,,0,127,19324,1,2,1,2,4,11260,71,0,1,2387,49,23900,0,1,2,3,1932,9836,45.1,0,0,38,49,24,4,0,31,,1,,0,5,5,6,6,5,8,9,5,10,0,0,0,1,100,0,0,0,39859,19324,17900,15959,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,16.91,1068.24,C,C5,customer service,10+ years,RENT,40000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,088xx,NJ,16.44,0,Jan-91,0,,,12,0,17964,38.4,26,w,28699.92,28699.92,2094.2,2094.2,1300.08,794.12,0,0,0,Feb-19,1068.24,Mar-19,Feb-19,0,,1,Individual,,,,0,0,29801,1,1,0,0,29,11837,79,4,4,9000,48,46800,0,0,1,4,2483,18636,49.1,0,0,101,335,5,5,0,8,,8,,0,4,4,6,14,5,11,21,4,12,0,0,0,4,100,50,0,0,61800,29801,36600,15000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3775,3775,3775, 36 months,13.56,128.22,C,C1,,n/a,OWN,5000,Source Verified,Dec-18,Current,n,,,home_improvement,Home improvement,425xx,KY,66.86,0,Aug-98,0,,63,4,1,2130,40.2,12,w,3689.43,3689.43,128.22,128.22,85.57,42.65,0,0,0,Feb-19,132.49,Mar-19,Feb-19,0,,1,Joint App,29000,17.51,Source Verified,0,0,5807,0,1,0,0,26,3677,40,0,0,1083,40,5300,1,0,4,0,1452,174,92.1,0,0,116,244,50,26,0,50,,3,,0,2,3,2,4,6,3,6,3,4,0,0,0,0,100,100,1,0,14392,5807,2200,9092,2812,Oct-06,0,0,4,90.3,2,3,0,0,37,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5600,5600,5600, 36 months,11.31,184.17,B,B3,,n/a,RENT,20166,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,066xx,CT,39.58,0,Sep-88,0,,,4,0,14651,87.2,17,w,5335.98,5335.98,363.06,363.06,264.02,99.04,0,0,0,Feb-19,184.17,Mar-19,Feb-19,0,,1,Individual,,,,0,0,17115,0,1,0,1,15,2464,68,0,0,9916,84,16800,0,0,0,1,4279,649,95.8,0,0,147,363,46,15,2,46,,,,0,2,2,2,5,5,3,10,2,4,0,0,0,0,100,100,0,0,20400,17115,15300,3600,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,16.14,211.36,C,C4,Facility Maintenance Tech,3 years,RENT,40000,Source Verified,Dec-18,Current,n,,,other,Other,217xx,MD,3.75,0,Aug-08,0,,,9,0,5580,10.4,15,w,5736.92,5736.92,414.65,414.65,263.08,151.57,0,0,0,Feb-19,211.36,Mar-19,Feb-19,0,,1,Individual,,,,0,924,6785,0,0,0,0,,0,,1,2,4230,12,53800,1,0,1,3,754,42920,11.5,0,0,,124,10,10,0,53,,0,,0,2,2,4,7,0,8,14,2,9,0,0,0,1,100,0,0,0,55383,6785,48500,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,15.02,554.81,C,C3,Plumber,4 years,OWN,50000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,368xx,AL,17.79,0,Dec-07,0,35,,11,0,10108,65.2,23,w,15286.48,15286.48,1089.59,1089.59,713.52,376.07,0,0,0,Feb-19,554.81,Mar-19,Feb-19,0,72,1,Individual,,,,0,0,28254,0,2,1,3,8,18146,79,0,3,2475,74,15500,0,6,1,6,2825,2847,74.1,0,0,132,120,13,8,0,13,35,8,35,0,5,7,6,8,9,9,14,7,11,0,0,0,1,82.6,66.7,0,0,38363,28254,11000,22863,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,15000,15000,15000, 36 months,16.14,528.4,C,C4,asst.mgr,3 years,RENT,60000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,301xx,GA,18.86,0,Aug-08,1,,,11,0,5311,49.2,24,w,14342.31,14342.31,1036.62,1036.62,657.69,378.93,0,0,0,Feb-19,528.4,Mar-19,Feb-19,0,,1,Individual,,,,0,0,29454,2,2,4,6,7,24143,78,3,7,2155,70,10800,2,0,5,13,2678,3158,55.5,0,0,124,118,1,1,0,1,,1,,0,3,7,4,5,14,9,10,7,11,0,0,0,7,100,0,0,0,41884,29454,7100,31084,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21000,21000,21000, 60 months,15.02,499.81,C,C3,Police Captain,10+ years,RENT,109000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,537xx,WI,23.25,0,Sep-97,2,66,,7,0,2472,6.2,19,w,20523.11,20523.11,973.34,973.34,476.89,496.45,0,0,0,Feb-19,499.81,Mar-19,Feb-19,0,70,1,Individual,,,,0,0,70738,2,4,2,4,4,68266,76,0,0,1165,41,39700,2,0,2,4,10105,37228,6.2,0,0,127,255,35,4,0,35,70,6,70,1,3,3,3,4,15,3,4,3,7,0,0,0,2,84.2,0,0,0,119923,70738,39700,80223,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,20.89,674.79,D,D4,Veterinary Assistant ,1 year,MORTGAGE,70000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,273xx,NC,26.08,0,Jan-00,0,,,12,0,43749,80,19,w,24516.67,24516.67,1306.06,1306.06,483.33,822.73,0,0,0,Feb-19,674.79,Mar-19,Feb-19,0,,1,Individual,,,,0,0,160400,0,0,0,0,219,0,0,0,1,10550,80,54554,0,1,0,1,13366,4426,103,0,0,219,227,13,13,1,13,,13,,0,6,11,10,10,1,11,17,11,12,,0,0,0,100,100,0,0,184656,43749,26554,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1000,1000,975, 36 months,8.19,31.43,A,A4,Project manager,10+ years,MORTGAGE,78000,Source Verified,Dec-18,Current,n,,,other,Other,980xx,WA,8.58,0,Jan-05,1,36,,10,0,7233,18,26,f,950.62,926.86,62.18,60.63,49.38,12.8,0,0,0,Feb-19,31.43,Mar-19,Feb-19,0,,1,Individual,,,,0,738,289602,3,1,0,2,14,12074,59,4,4,6462,32,40100,3,5,3,8,28960,21656,24.8,0,0,138,167,1,1,3,4,,1,36,0,3,4,4,6,11,8,12,4,10,0,0,0,5,92.3,0,0,0,331993,19307,28800,20593,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,20.89,431.87,D,D4,Regional Manager,10+ years,RENT,200000,Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,282xx,NC,14.42,0,Feb-07,0,,,17,0,14270,87.5,20,w,15690.66,15690.66,835.89,835.89,309.34,526.55,0,0,0,Feb-19,431.87,Mar-19,Feb-19,0,,1,Individual,,,,0,0,68613,0,5,2,3,8,54343,78,0,1,1459,79,16300,4,0,6,4,4036,1213,81.6,0,0,49,142,18,8,0,18,,8,,0,5,12,5,5,5,12,15,12,17,0,0,0,2,100,80,0,0,86399,68613,6600,70099,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8500,8500,8500, 36 months,16.91,302.67,C,C5,DIRECT CARE PROVIDER,7 years,MORTGAGE,70200,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,226xx,VA,3.62,4,Dec-05,1,6,,9,0,5721,27,33,w,8131.64,8131.64,593.36,593.36,368.36,225,0,0,0,Feb-19,302.67,Mar-19,Dec-18,2,7,1,Individual,,,,0,3632,195134,0,0,0,0,47,0,0,2,4,4233,27,21124,1,0,4,4,21681,3131,46,0,0,146,156,9,9,1,12,27,1,6,0,4,8,4,6,9,8,23,2,9,,0,2,2,88,0,0,0,221124,5721,12524,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,22.35,1151.16,D,D5,Supervisor ,5 years,MORTGAGE,100000,Source Verified,Dec-18,Fully Paid,n,,,debt_consolidation,Debt consolidation,917xx,CA,30.46,0,Jan-12,0,51,84,11,1,15603,37,19,w,0,0,30026.4425,30026.44,30000,26.44,0,0,0,Jan-19,30082.32,,Jan-19,0,,1,Joint App,150000,23.38,Source Verified,0,0,472330,1,3,2,2,2,82850,75,0,1,9713,60,42200,1,1,3,4,42939,15181,46.9,0,0,83,73,23,2,1,23,,8,,0,3,4,3,5,10,6,8,4,11,0,0,0,2,89.5,33.3,1,0,527120,98453,28600,101984,52417,Jul-06,0,1,16,25.2,2,15,0,0,70,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 36 months,8.81,95.14,A,A5,,n/a,RENT,71250,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,984xx,WA,5.71,2,Oct-04,2,22,,14,0,1931,5.2,23,w,2926.88,2926.88,98.08,98.08,73.12,24.96,0,0,0,Feb-19,100.28,Mar-19,Feb-19,0,22,1,Individual,,,,0,0,7510,5,1,1,1,7,5579,86,5,7,1020,17,37000,1,0,3,8,536,25404,6.9,0,0,170,43,3,3,0,3,,5,,5,7,8,8,9,9,13,14,8,14,0,0,2,6,81,0,0,0,43500,7510,27300,6500,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,16000,16000,16000, 36 months,23.4,622.7,E,E1,account manager,10+ years,MORTGAGE,140000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,913xx,CA,18.39,1,Dec-97,0,15,,17,0,20581,103.4,33,w,15689.3,15689.3,747.5,747.5,310.7,436.8,0,0,0,Feb-19,778.7,Mar-19,Feb-19,0,41,1,Individual,,,,0,0,501659,2,2,1,1,9,39074,29,2,6,3599,66,19900,2,0,1,7,31354,0,103.8,0,0,252,227,1,1,3,1,,9,38,0,10,12,11,12,10,14,19,12,17,0,0,0,3,87.9,100,0,0,570405,59655,16900,56000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,12.98,269.48,B,B5,Controller,4 years,MORTGAGE,95000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,480xx,MI,9.44,0,Mar-09,2,73,,7,0,11434,33.3,20,w,7632.13,7632.13,530.31,530.31,367.87,162.44,0,0,0,Feb-19,269.48,Mar-19,Feb-19,0,73,1,Individual,,,,0,0,247933,5,1,3,4,2,13716,98,4,5,8918,52,34300,2,0,7,10,35419,22866,33.3,0,0,13,117,6,2,1,6,73,2,73,1,3,3,5,15,4,5,15,3,7,0,0,0,8,100,20,0,0,271550,25150,34300,14000,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,30000,30000,30000, 60 months,17.97,761.32,D,D1,senior buyer,10+ years,MORTGAGE,65000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,917xx,CA,8.12,0,Apr-89,2,29,104,15,1,5086,27.1,19,w,29371.19,29371.19,1477.72,1477.72,628.81,848.91,0,0,0,Feb-19,761.32,Mar-19,Feb-19,0,68,1,Individual,,,,0,0,226869,3,1,1,1,9,4150,83,4,11,1808,39,18800,2,0,3,12,15125,3692,32.9,0,0,9,356,1,1,1,19,46,1,29,1,1,8,2,4,1,13,17,8,15,0,0,0,5,84.2,0,1,0,268985,9236,5500,5000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,14.47,206.44,C,C2,Manager,10+ years,RENT,55000,Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,104xx,NY,10.65,0,Jun-06,0,,,6,0,4196,91.2,8,w,5730.2,5730.2,405.64,405.64,269.8,135.84,0,0,0,Feb-19,206.44,Mar-19,Feb-19,0,,1,Individual,,,,0,0,12514,0,2,1,1,9,8318,74,1,1,2807,79,4600,1,0,2,2,2086,344,92,0,0,33,150,9,9,0,9,,9,,0,3,4,3,3,3,4,5,4,6,0,0,0,2,100,100,0,0,15800,12514,4300,11200,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,12.98,168.43,B,B5,Consultant,2 years,RENT,80000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,100xx,NY,2.39,0,Jan-14,1,,,8,0,7356,9.4,9,w,4770.07,4770.07,331.45,331.45,229.93,101.52,0,0,0,Feb-19,168.43,Mar-19,Feb-19,0,,1,Individual,,,,0,0,7356,0,0,0,0,,0,,2,2,4957,9,78200,1,0,1,2,920,70844,9.4,0,0,,59,11,11,0,11,,1,,0,4,4,8,8,0,8,8,4,8,0,0,0,2,100,12.5,0,0,78200,7356,78200,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,16.14,352.27,C,C4,,< 1 year,MORTGAGE,90000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,934xx,CA,7.85,0,Jun-09,0,,,10,0,17271,48.5,12,w,9561.53,9561.53,691.09,691.09,438.47,252.62,0,0,0,Feb-19,352.27,Mar-19,Feb-19,0,,1,Individual,,,,0,0,24085,1,1,0,1,15,6814,68,2,5,11822,53,35600,1,0,0,6,2409,10982,59.3,0,0,114,56,1,1,0,1,,15,,0,3,4,8,8,2,9,10,4,10,0,0,0,2,100,37.5,0,0,45600,24085,27000,10000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 60 months,16.14,487.86,C,C4,Sales,10+ years,MORTGAGE,30000,Source Verified,Dec-18,Current,n,,,other,Other,629xx,IL,38.16,0,Jul-05,0,80,,6,0,10391,57.4,13,w,19559.34,19559.34,948.82,948.82,440.66,508.16,0,0,0,Feb-19,487.86,Mar-19,Feb-19,0,,1,Joint App,104000,28.84,Source Verified,0,0,113066,0,1,0,1,18,33208,,1,1,6859,57,18100,0,0,0,2,18844,141,98,0,0,117,51,12,12,2,48,,18,,0,1,3,1,1,7,4,4,3,6,0,0,0,1,84.6,100,0,0,142013,43599,7000,40313,45362,Jan-05,0,2,14,64.1,5,11,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,22650,22650,22650, 36 months,10.72,738.54,B,B2,President,7 years,MORTGAGE,145000,Not Verified,Dec-18,Current,n,,,home_improvement,Home improvement,346xx,FL,17.06,0,May-75,0,,,11,0,36355,38.1,20,w,21572.81,21572.81,1456.85,1456.85,1077.19,379.66,0,0,0,Feb-19,738.54,Mar-19,Feb-19,0,,1,Individual,,,,0,0,603759,2,3,2,3,2,84283,93,0,0,25938,65,98300,1,0,1,3,54887,61945,38.1,0,0,145,523,78,2,5,86,,8,,0,3,3,5,7,4,5,11,3,11,0,0,0,2,100,20,0,0,749946,120638,98300,90596,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,11.31,328.86,B,B3,Nurse technician,2 years,OWN,35000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,989xx,WA,15.6,0,Apr-14,0,,,5,0,6758,60.9,6,w,9715.26,9715.26,385.07,385.07,284.74,100.33,0,0,0,Feb-19,344.49,Mar-19,Feb-19,0,,1,Individual,,,,0,0,21185,1,1,1,1,10,14427,87,1,1,4954,77,11100,1,3,3,2,4237,3058,63.2,0,0,28,56,4,4,0,48,,10,,0,2,4,2,2,2,4,4,4,5,0,0,0,2,100,0,0,0,27673,21185,8300,16573,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,24000,24000,24000, 36 months,10.33,778.14,B,B1,Maintenance Manager,10+ years,MORTGAGE,100000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,606xx,IL,19.14,0,Oct-96,3,39,,14,0,8547,27.7,28,w,22852,22852,1535.62,1535.62,1148,387.62,0,0,0,Feb-19,778.14,Mar-19,Feb-19,0,57,1,Individual,,,,0,0,273876,3,5,3,5,5,40384,66,2,4,4368,51,30900,8,0,8,9,19563,17353,33,0,0,266,178,4,4,3,4,39,1,39,1,5,5,6,8,15,7,9,5,14,0,0,0,5,82.1,16.7,0,0,335121,50686,25900,61514,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4000,4000,4000, 36 months,18.94,146.51,D,D2,Math Instructor,< 1 year,MORTGAGE,37000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,646xx,MO,9.34,0,Dec-03,0,24,,7,0,742,4.3,16,w,3831.93,3831.93,286.71,286.71,168.07,118.64,0,0,0,Feb-19,146.51,Mar-19,Feb-19,0,24,1,Individual,,,,0,195,96011,1,1,0,1,24,6402,68,0,1,447,27,17300,0,0,3,3,13716,15332,4.2,0,0,160,180,19,5,1,88,,6,,2,2,4,3,3,9,5,5,4,7,0,0,0,1,87.5,33.3,0,0,116079,7144,16000,9479,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,15.02,1040.26,C,C3,Firefighter ,10+ years,RENT,90000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,681xx,NE,22.23,0,May-07,1,,,8,0,25754,48,23,w,27115.99,27115.99,3541.42,3541.42,2884.01,657.41,0,0,0,Feb-19,1040.26,Mar-19,Feb-19,0,,1,Individual,,,,0,0,51370,1,2,1,2,9,25616,71,2,3,9621,57,53600,0,2,1,5,6421,22030,47,0,0,123,139,3,3,3,3,,3,,0,4,6,4,5,11,6,9,6,8,0,0,0,3,100,50,0,0,89849,51370,41600,36249,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,11000,11000,11000, 36 months,16.14,387.49,C,C4,Senior Area Sales Manager,3 years,MORTGAGE,240000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,482xx,MI,9.03,1,Mar-99,0,11,,6,0,2565,8.8,17,w,10517.7,10517.7,760.18,760.18,482.3,277.88,0,0,0,Feb-19,387.49,Mar-19,Feb-19,0,75,1,Individual,,,,0,3463,465087,3,4,3,4,2,103615,88,0,0,2565,66,29000,2,3,3,5,77515,26435,8.8,0,0,160,237,156,2,5,237,,4,39,2,1,1,1,1,9,1,3,1,6,0,0,0,4,76.5,0,0,0,504014,106180,29000,114497,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000, 60 months,13.56,552.98,C,C1,Director of reinsurance ,10+ years,MORTGAGE,125000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,600xx,IL,25.29,0,Dec-94,1,,,26,0,41671,31.8,64,w,23718.22,23718.22,543.94,543.94,281.78,262.16,0,0,0,Feb-19,571.06,Mar-19,Feb-19,0,,1,Individual,,,,0,0,377191,2,6,1,3,1,100992,71,0,1,20491,46,151900,4,1,5,5,14507,79736,39.4,0,0,152,288,16,1,3,37,,1,,0,5,9,6,12,17,19,44,9,25,0,0,0,2,100,14.3,0,0,517409,142663,117900,130409,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,18000,18000,18000, 60 months,10.72,388.86,B,B2,Office Manager,10+ years,MORTGAGE,32000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,928xx,CA,46.63,0,Jan-08,0,,,12,0,6035,17.2,25,w,17541.84,17541.84,761.64,761.64,458.16,303.48,0,0,0,Feb-19,388.86,Mar-19,Feb-19,0,,1,Joint App,118000,13.53,Verified,0,0,488023,5,2,2,3,3,61340,99,2,3,2395,55,38500,1,2,3,8,40669,14228,22.1,0,0,131,99,4,3,3,5,,4,,0,2,6,4,6,11,9,11,6,12,0,0,0,6,100,0,0,0,533144,67375,17300,72219,9948,Jan-08,0,2,10,17.8,1,8,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,18000,18000,18000, 36 months,8.81,570.81,A,A5,Sever,< 1 year,RENT,40000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,100xx,NY,12.81,0,Apr-14,0,,,15,0,16147,35.2,21,w,16987.74,16987.74,1128.4,1128.4,1012.26,116.14,0,0,0,Feb-19,570.81,Mar-19,Feb-19,0,,1,Individual,,,,0,0,28062,1,4,1,4,7,11915,79,3,6,6591,46,45900,0,0,1,10,1871,22177,38.1,0,0,23,56,4,4,0,4,,8,,0,5,6,8,10,4,11,15,6,15,0,0,0,4,100,12.5,0,0,60900,28062,35800,15000,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,5525,5525,5525, 36 months,15.02,191.59,C,C3,Vice President,10+ years,RENT,118000,Not Verified,Dec-18,Current,n,,,car,Car financing,322xx,FL,3.25,1,Jul-99,1,16,,11,0,7038,44,23,w,5278.6,5278.6,376.26,376.26,246.4,129.86,0,0,0,Feb-19,191.59,Mar-19,Dec-18,0,21,1,Individual,,,,0,0,7038,1,0,0,0,2,0,0,4,5,2498,44,15940,0,0,4,5,639,2260,50,1,0,141,233,4,2,2,4,26,4,16,1,5,11,4,7,2,11,18,8,11,,0,0,4,52,40,0,0,15940,7038,11300,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2525,2525,2525, 36 months,16.91,89.92,C,C5,Tech Driver,1 year,RENT,21000,Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,325xx,FL,15.89,0,Feb-14,1,,,5,0,3381,36.4,6,w,2415.56,2415.56,176.28,176.28,109.44,66.84,0,0,0,Feb-19,89.92,Mar-19,Feb-19,0,,1,Individual,,,,0,0,6587,1,1,0,1,13,3206,67,1,1,1804,47,9300,1,0,1,2,1317,373,85.1,0,0,13,58,2,2,0,29,,2,,0,2,4,2,3,1,4,5,4,5,0,0,0,1,100,50,0,0,14100,6587,2500,4800,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,32000,32000,32000, 60 months,14.47,752.41,C,C2,Teacher,10+ years,MORTGAGE,110000,Source Verified,Dec-18,Current,n,,,home_improvement,Home improvement,152xx,PA,26.11,0,Oct-00,0,24,,18,0,14833,43,32,w,31262.49,31262.49,1466.23,1466.23,737.51,728.72,0,0,0,Feb-19,752.41,Mar-19,Feb-19,0,41,1,Individual,,,,0,273,73873,1,5,1,3,12,59040,49,2,6,4293,46,34500,2,5,1,9,4104,15794,41.1,0,0,218,201,6,6,1,6,41,12,41,2,7,11,8,11,15,13,16,11,18,0,0,0,3,77.4,12.5,0,0,94609,73873,26800,60109,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,25.34,639.04,E,E3,Operations Manager,2 years,RENT,52000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,220xx,VA,21.26,0,Aug-10,0,,,13,0,17227,60.4,22,w,15391.29,15391.29,1244.29,1244.29,608.71,635.58,0,0,0,Feb-19,639.04,Mar-19,Feb-19,0,,1,Individual,,,,0,0,60727,1,3,0,2,17,43500,92,2,12,3114,80,28500,0,0,1,14,4671,9838,58.5,0,0,62,100,6,6,0,6,,7,,0,8,9,9,12,8,10,14,9,13,0,0,0,2,100,55.6,0,0,76034,60727,23700,47534,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,14.47,550.51,C,C2,,< 1 year,RENT,200000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,152xx,PA,23.53,0,Mar-93,2,,,20,0,90839,64.3,42,w,15282.69,15282.69,1081.73,1081.73,717.31,364.42,0,0,0,Feb-19,550.51,Mar-19,Feb-19,0,,1,Individual,,,,0,0,139867,1,3,1,2,2,35483,66,0,1,17192,67,141200,2,0,6,4,7770,38130,66.8,0,0,167,309,20,2,6,20,,1,,0,7,11,9,14,12,15,22,11,20,0,0,0,1,100,44.4,0,0,208926,139867,114900,54181,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,18500,18500,18500, 60 months,12.98,420.75,B,B5,Supply Chain Analyst,5 years,RENT,96500,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,554xx,MN,27.86,1,May-09,0,7,,19,0,19000,62.1,38,w,18056.33,18056.33,821.49,821.49,443.67,377.82,0,0,0,Feb-19,420.75,Mar-19,Feb-19,0,,1,Individual,,,,0,0,81660,0,14,0,1,22,62660,62,0,0,8422,62,30600,0,0,1,1,4298,7246,68.4,0,0,112,115,34,22,0,34,,7,,0,3,5,3,6,28,5,10,5,19,0,0,0,0,97.3,66.7,0,0,131337,81660,22900,100737,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
